256
-10.5	-10.5	-10.5	-0.996468	0.0195924	-0.0816583
-7.5	-10.5	-7.5	0.364275	-0.505234	0.782331
-10.5	-7.5	-7.5	-0.291696	-0.452507	-0.842705
-7.5	-7.5	-10.5	-0.596178	0.106468	-0.795761
-4.5	-10.5	-10.5	0.802294	0.593477	-0.064111
-1.5	-10.5	-7.5	0.564	0.784491	-0.257833
-4.5	-7.5	-7.5	0.155687	0.0886134	0.983824
-1.5	-7.5	-10.5	-0.732276	0.223175	0.6434
1.5	-10.5	-10.5	-0.854672	0.187568	-0.484101
4.5	-10.5	-7.5	-0.992776	0.0245244	-0.117446
1.5	-7.5	-7.5	0.922871	-0.129475	-0.362692
4.5	-7.5	-10.5	0.125779	-0.952298	-0.278042
7.5	-10.5	-10.5	-0.972316	0.0913641	-0.215069
10.5	-10.5	-7.5	0.976938	-0.191554	-0.0943349
7.5	-7.5	-7.5	0.53089	-0.727654	-0.434369
10.5	-7.5	-10.5	0.700375	-0.58469	-0.409405
-10.5	-4.5	-10.5	-0.380673	-0.462853	0.800534
-7.5	-4.5	-7.5	0.178572	-0.978297	-0.1051
-10.5	-1.5	-7.5	0.260627	-0.112327	0.958883
-7.5	-1.5	-10.5	0.805521	-0.274956	0.524915
-4.5	-4.5	-10.5	0.456408	-0.840424	-0.292196
-1.5	-4.5	-7.5	-0.312114	-0.400037	0.861717
-4.5	-1.5	-7.5	-0.794728	0.4469	0.410716
-1.5	-1.5	-10.5	-0.91108	-0.345041	-0.225565
1.5	-4.5	-10.5	0.553128	-0.760626	0.339848
4.5	-4.5	-7.5	-0.246764	-0.763164	0.597234
1.5	-1.5	-7.5	-0.326998	0.351695	-0.877145
4.5	-1.5	-10.5	0.275277	-0.591117	-0.758158
7.5	-4.5	-10.5	-0.678565	-0.734524	0.0048829
10.5	-4.5	-7.5	0.115357	0.979726	0.163797
7.5	-1.5	-7.5	-0.0517137	0.786396	-0.615555
10.5	-1.5	-10.5	-0.402598	0.0328047	0.914789
-10.5	1.5	-10.5	0.402257	-0.29568	0.866466
-7.5	1.5	-7.5	0.779598	-0.306716	0.546033
-10.5	4.5	-7.5	-0.0123734	-0.392756	0.91956
-7.5	4.5	-10.5	0.318399	-0.567566	-0.75927
-4.5	1.5	-10.5	-0.229637	-0.972373	-0.0419239
-1.5	1.5	-7.5	0.368033	0.361331	0.856733
-4.5	4.5	-7.5	-0.114733	-0.989106	-0.0922302
-1.5	4.5	-10.5	-0.91824	0.368737	0.144459
1.5	1.5	-10.5	-0.0166919	-0.146011	-0.989142
4.5	1.5	-7.5	0.107889	0.572481	-0.812788
1.5	4.5	-7.5	0.184933	0.742057	0.644323
4.5	4.5	-10.5	-0.917752	0.373515	-0.134973
7.5	1.5	-10.5	0.336638	-0.574232	0.746279
10.5	1.5	-7.5	-0.357179	0.321459	0.876976
7.5	4.5	-7.5	-0.262216	0.0684469	-0.962579
10.5	4.5	-10.5	0.232834	-0.151032	-0.960717
-10.5	7.5	-10.5	-0.0878202	0.925458	0.368531
-7.5	7.5	-7.5	0.950088	0.0740605	-0.303064
-10.5	10.5	-7.5	0.197014	0.826128	0.527919
-7.5	10.5	-10.5	0.779587	0.515977	0.354981
-4.5	7.5	-10.5	0.272153	-0.925016	-0.265102
-1.5	7.5	-7.5	-0.287007	-0.889468	0.355631
-4.5	10.5	-7.5	-0.00277576	-0.978607	-0.205722
-1.5	10.5	-10.5	-0.722133	-0.673868	0.156286
1.5	7.5	-10.5	0.928116	-0.236611	-0.287429
4.5	7.5	-7.5	0.201671	-0.0579107	0.97774
1.5	10.5	-7.5	0.609825	-0.461887	0.644029
4.5	10.5	-10.5	0.880081	-0.311811	-0.358093
7.5	7.5	-10.5	0.508535	0.407274	0.758631
10.5	7.5	-7.5	0.921664	-0.0141806	0.387729
7.5	10.5	-7.5	-0.256278	-0.9251	-0.280197
10.5	10.5	-10.5	-0.349553	0.87362	-0.338529
-10.5	-10.5	-4.5	0.273703	0.933767	0.230578
-7.5	-10.5	-1.5	0.924589	0.25087	0.286704
-10.5	-7.5	-1.5	-0.610154	-0.0553039	0.790351
-7.5	-7.5	-4.5	0.79251	-0.521023	0.31696
-4.5	-10.5	-4.5	-0.98558	0.0970883	0.138589
-1.5	-10.5	-1.5	-0.871922	-0.439535	-0.21578
-4.5	-7.5	-1.5	-0.771795	0.438771	0.460231
-1.5	-7.5	-4.5	0.512967	0.382313	0.768571
1.5	-10.5	-4.5	-0.12971	-0.988806	0.073742
4.5	-10.5	-1.5	0.0308066	0.05013	0.998267
1.5	-7.5	-1.5	0.549786	-0.751243	0.365197
4.5	-7.5	-4.5	-0.829202	-0.546293	-0.118269
7.5	-10.5	-4.5	0.810223	0.250452	0.529917
10.5	-10.5	-1.5	-0.963706	-0.197903	0.179182
7.5	-7.5	-1.5	0.20662	-0.564048	0.799474
10.5	-7.5	-4.5	0.935289	-0.241798	-0.258396
-10.5	-4.5	-4.5	-0.10952	-0.736371	0.667655
-7.5	-4.5	-1.5	-0.618083	-0.0262304	0.785675
-10.5	-1.5	-1.5	-0.817454	0.178509	-0.547634
-7.5	-1.5	-4.5	-0.756038	0.448848	0.476384
-4.5	-4.5	-4.5	-0.794772	0.0851783	0.600902
-1.5	-4.5	-1.5	-0.0177966	0.541466	-0.840534
-4.5	-1.5	-1.5	0.158778	0.227371	-0.960777
-1.5	-1.5	-4.5	0.905287	0.421349	0.0540409
1.5	-4.5	-4.5	-0.85651	-0.512594	0.0603204
